Dynamic_Symmetry_Strength,Dynamic_Field_Strength,Spread_Width,Num_Pucks,Bias_ON,Bias_Strength,Num_Lobes,Symmetry_Type,Symmetry_Strength,Dynamic_Lobes,Field_Force_Profile,Dynamic_Field,Field_Strength,Experiment_Notes
0.0,0.0,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.012558103905862676,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.02506664671286085,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.037476262917144926,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.049737977432970974,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.06180339887498949,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.0736249105369356,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.08515585831301453,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.09635073482034306,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.10716535899579932,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.11755705045849461,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.12748479794973794,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.13690942118573773,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.14579372548428235,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.15410264855515787,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.1618033988749895,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.16886558510040303,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.17526133600877272,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.18096541049320392,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.18595529717765027,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.19021130325903074,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.19371663222572627,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.19645745014573776,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.19842294026289556,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.19960534568565433,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.2,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.19960534568565436,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.19842294026289553,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.19645745014573776,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.19371663222572627,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.19021130325903077,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.1859552971776503,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.18096541049320392,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.1752613360087727,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.168865585100403,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.1618033988749895,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.15410264855515787,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.14579372548428232,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.13690942118573776,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.12748479794973797,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.11755705045849463,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.10716535899579938,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.09635073482034304,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.08515585831301459,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.07362491053693564,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.061803398874989514,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.04973797743297106,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.03747626291714492,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.025066646712860907,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.012558103905862717,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,2.4492935982947065e-17,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.012558103905862667,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.025066646712860866,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.03747626291714496,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.049737977432970926,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.06180339887498947,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.0736249105369356,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.08515585831301446,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.09635073482034308,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.10716535899579926,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.11755705045849452,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.12748479794973794,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.13690942118573768,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.14579372548428235,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.1541026485551579,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.1618033988749895,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.16886558510040306,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.1752613360087727,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.18096541049320392,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.1859552971776503,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.1902113032590307,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.19371663222572627,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.19645745014573776,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.19842294026289553,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.19960534568565436,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.2,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.19960534568565436,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.19842294026289553,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.1964574501457378,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.19371663222572624,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.19021130325903077,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.18595529717765033,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.18096541049320397,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.17526133600877267,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.168865585100403,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.16180339887498954,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.15410264855515796,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.14579372548428246,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.1369094211857378,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.1274847979497379,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.11755705045849466,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.1071653589957994,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.09635073482034322,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.0851558583130146,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.07362491053693558,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.061803398874989535,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.04973797743297108,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.03747626291714495,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.025066646712860935,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,-0.012558103905862653,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
